name: 
start: 着信電話番号分岐
desc: ''
modules count: 24

入力_患者_携帯電話 | type=drjoy^External Integration$DTMF AmiVoice STT Input | mm=? | next=0 | subs=0 | (0,0)
openAI_患者_復唱連絡先 | type=drjoy^External Integration$generate_by_OpenAI | mm=? | next=0 | subs=0 | (0,0)
その他ルート | type=@General$Script | mm=? | next=0 | subs=0 | (0,0)
リトライ_患者_連絡先 | type=drjoy^Text To Speech$Speech Retry Counter | mm=? | next=0 | subs=0 | (0,0)
復唱_患者_連絡先 | type=drjoy^Text To Speech$Re-confirmation node data | mm=? | next=0 | subs=0 | (0,0)
openAI_患者_携帯電話 | type=drjoy^External Integration$generate_by_OpenAI | mm=? | next=0 | subs=0 | (0,0)
患者_連絡先 | type=drjoy^Text To Speech$Text to speech | mm=? | next=0 | subs=0 | (0,0)
携帯電話判別 | type=drjoy^Persistence$saveContext2DB | mm=? | next=0 | subs=0 | (0,0)
携帯ルート | type=@General$Script | mm=? | next=0 | subs=0 | (0,0)
電話番号正規化2 | type=drjoy^TS Custom Module$Phone Normalization | mm=? | next=0 | subs=0 | (0,0)
入力_患者_復唱連絡先 | type=drjoy^External Integration$DTMF AmiVoice STT Input | mm=? | next=0 | subs=0 | (0,0)
入力_患者_連絡先 | type=drjoy^External Integration$DTMF AmiVoice STT Input | mm=? | next=0 | subs=0 | (0,0)
script_携帯判別 | type=@General$Script | mm=? | next=0 | subs=0 | (0,0)
save-着信元電話番号 | type=drjoy^Persistence$saveContext2DB | mm=? | next=0 | subs=0 | (0,0)
save-連絡先復唱 | type=drjoy^Persistence$save2db | mm=? | next=0 | subs=0 | (0,0)
save-電話復唱 | type=drjoy^Persistence$save2db | mm=? | next=0 | subs=0 | (0,0)
電話番号正規化 | type=drjoy^TS Custom Module$Phone Normalization | mm=? | next=0 | subs=0 | (0,0)
save-PhoneNumber | type=drjoy^Persistence$save2db | mm=? | next=0 | subs=0 | (0,0)
患者_携帯 | type=drjoy^Text To Speech$Re-confirmation node data | mm=? | next=0 | subs=0 | (0,0)
携帯以外 | type=drjoy^Persistence$saveContext2DB | mm=? | next=0 | subs=0 | (0,0)
save-携帯電話 | type=drjoy^Persistence$saveContext2DB | mm=? | next=0 | subs=0 | (0,0)
着信電話番号分岐 | type=drjoy^Incoming$incoming-classifier | mm=? | next=0 | subs=0 | (0,0)
リトライ_患者_復唱連絡先 | type=drjoy^Text To Speech$Speech Retry Counter | mm=? | next=0 | subs=0 | (0,0)
リトライ_患者_携帯電話 | type=drjoy^Text To Speech$Speech Retry Counter | mm=? | next=0 | subs=0 | (0,0)
