name: 関越病院$薬剤部_20260416
start: 冒頭
desc: ''
modules count: 70

完了フラグ_非通知 | type=drjoy^Persistence$saveCompletionFlag2db | mm=1(int) | next=1 | subs=3 | (2240,750)
END_非通知 | type=drjoy^Text To Speech$Text to speech | mm=1(int) | next=1 | subs=3 | (2240,900)
save-END_非通知 | type=drjoy^Persistence$save2db | mm=1(int) | next=0 | subs=3 | (2460,930)
切断_非通知 | type=@IVR$Disconnect | mm=1(int) | next=0 | subs=3 | (2240,1050)
完了フラグ_時間外 | type=drjoy^Persistence$saveCompletionFlag2db | mm=1(int) | next=1 | subs=3 | (2800,750)
END_時間外 | type=drjoy^Text To Speech$Text to speech | mm=1(int) | next=1 | subs=3 | (2800,900)
save-END_時間外 | type=drjoy^Persistence$save2db | mm=1(int) | next=0 | subs=3 | (3020,930)
切断_時間外 | type=@IVR$Disconnect | mm=1(int) | next=0 | subs=3 | (2800,1050)
完了フラグ_聴取失敗 | type=drjoy^Persistence$saveCompletionFlag2db | mm=1(int) | next=1 | subs=3 | (0,9300)
END_聴取失敗 | type=drjoy^Text To Speech$Text to speech | mm=1(int) | next=1 | subs=3 | (0,9450)
save-END_聴取失敗 | type=drjoy^Persistence$save2db | mm=1(int) | next=0 | subs=3 | (220,9480)
切断_聴取失敗 | type=@IVR$Disconnect | mm=1(int) | next=0 | subs=3 | (0,9600)
完了フラグ_折返し不要 | type=drjoy^Persistence$saveCompletionFlag2db | mm=1(int) | next=1 | subs=3 | (0,8250)
END_折返し不要 | type=drjoy^Text To Speech$Text to speech | mm=1(int) | next=1 | subs=3 | (0,8400)
save-END_折返し不要 | type=drjoy^Persistence$save2db | mm=1(int) | next=0 | subs=3 | (220,8430)
切断_折返し不要 | type=@IVR$Disconnect | mm=1(int) | next=0 | subs=3 | (0,8550)
完了フラグ_折返しあり_入電番号 | type=drjoy^Persistence$saveCompletionFlag2db | mm=1(int) | next=1 | subs=3 | (1120,8850)
END_折返しあり_入電番号 | type=drjoy^Text To Speech$Text to speech | mm=1(int) | next=1 | subs=3 | (1120,9000)
save-END_折返しあり_入電番号 | type=drjoy^Persistence$save2db | mm=1(int) | next=0 | subs=3 | (1340,9030)
切断_折返しあり_入電番号 | type=@IVR$Disconnect | mm=1(int) | next=0 | subs=3 | (1120,9150)
完了フラグ_折返しあり_聴取番号 | type=drjoy^Persistence$saveCompletionFlag2db | mm=1(int) | next=1 | subs=3 | (1680,8850)
END_折返しあり_聴取番号 | type=drjoy^Text To Speech$Text to speech | mm=1(int) | next=1 | subs=3 | (1680,9000)
save-END_折返しあり_聴取番号 | type=drjoy^Persistence$save2db | mm=1(int) | next=0 | subs=3 | (1900,9030)
切断_折返しあり_聴取番号 | type=@IVR$Disconnect | mm=1(int) | next=0 | subs=3 | (1680,9150)
冒頭 | type=Custom$wait | mm=1(int) | next=1 | subs=0 | (0,0)
コンテキスト設定 | type=drjoy^Persistence$saveContextModel2DB | mm=1(int) | next=1 | subs=3 | (0,150)
着信電話番号分類 | type=drjoy^Incoming$incoming-classifier | mm=1(int) | next=5 | subs=3 | (0,300)
受付時間判定 | type=drjoy^External Integration$acceptance_times | mm=1(int) | next=4 | subs=3 | (0,450)
save-clinicalDepartment2 | type=drjoy^Persistence$save2db | mm=1(int) | next=0 | subs=3 | (280,750)
薬局名 | type=drjoy^Text To Speech$Text to speech | mm=1(int) | next=1 | subs=3 | (0,750)
入力_薬局名 | type=drjoy^AmiVoice$Speech to Text | mm=1(int) | next=11 | subs=3 | (0,900)
リトライ_薬局名 | type=drjoy^Text To Speech$Speech Retry Counter | mm=1(int) | next=2 | subs=3 | (0,1200)
save-classification | type=drjoy^Persistence$save2db | mm=1(int) | next=0 | subs=3 | (280,1800)
用件確認 | type=drjoy^Text To Speech$Text to speech | mm=1(int) | next=1 | subs=3 | (0,1800)
入力_用件確認 | type=drjoy^External Integration$DTMF AmiVoice STT Input | mm=1(int) | next=11 | subs=3 | (0,1950)
リトライ_用件確認 | type=drjoy^Text To Speech$Speech Retry Counter | mm=1(int) | next=2 | subs=3 | (0,2250)
OpenAI_用件確認 | type=drjoy^External Integration$generate_by_OpenAI | mm=1(int) | next=10 | subs=3 | (0,2100)
save-Desiredreservation | type=drjoy^Persistence$save2db | mm=1(int) | next=0 | subs=3 | (280,2850)
担当者名 | type=drjoy^Text To Speech$Text to speech | mm=1(int) | next=1 | subs=3 | (0,2850)
入力_担当者名 | type=drjoy^AmiVoice$Speech to Text | mm=1(int) | next=11 | subs=3 | (0,3000)
リトライ_担当者名 | type=drjoy^Text To Speech$Speech Retry Counter | mm=1(int) | next=2 | subs=3 | (0,3300)
jump_診察券番号聴取 | type=drjoy^Custom Module$Custom Jump to Flow | mm=1(int) | next=1 | subs=3 | (0,3900)
jump_氏名聴取 | type=drjoy^Custom Module$Custom Jump to Flow | mm=1(int) | next=1 | subs=3 | (0,4200)
用件分岐1 | type=drjoy^Context Logic$ContextMatchRouter | mm=1(int) | next=11 | subs=3 | (0,4500)
save-clinicalDepartment | type=drjoy^Persistence$save2db | mm=1(int) | next=0 | subs=3 | (840,4800)
診療科 | type=drjoy^Text To Speech$Text to speech | mm=1(int) | next=1 | subs=3 | (560,4800)
入力_診療科 | type=drjoy^AmiVoice$Speech to Text | mm=1(int) | next=11 | subs=3 | (560,4950)
リトライ_診療科 | type=drjoy^Text To Speech$Speech Retry Counter | mm=1(int) | next=2 | subs=3 | (560,5250)
OpenAI_診療科 | type=drjoy^External Integration$generate_by_OpenAI | mm=1(int) | next=10 | subs=3 | (560,5100)
saveDefault-入力_診療科 | type=drjoy^Persistence$saveContext2DB | mm=1(int) | next=1 | subs=3 | (840,4950)
saveDefault-OpenAI_診療科 | type=drjoy^Persistence$saveContext2DB | mm=1(int) | next=1 | subs=3 | (840,5100)
用件分岐2 | type=drjoy^Context Logic$ContextMatchRouter | mm=1(int) | next=11 | subs=3 | (560,5850)
save-reason | type=drjoy^Persistence$save2db | mm=1(int) | next=0 | subs=3 | (280,4800)
問い合わせ内容_疑義照会 | type=drjoy^Text To Speech$Text to speech | mm=1(int) | next=1 | subs=3 | (560,6150)
入力_問い合わせ内容_疑義照会 | type=drjoy^AmiVoice$Speech to Text | mm=1(int) | next=11 | subs=3 | (560,6300)
リトライ_問い合わせ内容_疑義照会 | type=drjoy^Text To Speech$Speech Retry Counter | mm=1(int) | next=2 | subs=3 | (560,6600)
問い合わせ内容_報告 | type=drjoy^Text To Speech$Text to speech | mm=1(int) | next=1 | subs=3 | (1120,6150)
入力_問い合わせ内容_報告 | type=drjoy^AmiVoice$Speech to Text | mm=1(int) | next=11 | subs=3 | (1120,6300)
リトライ_問い合わせ内容_報告 | type=drjoy^Text To Speech$Speech Retry Counter | mm=1(int) | next=2 | subs=3 | (1120,6600)
save-details | type=drjoy^Persistence$save2db | mm=1(int) | next=0 | subs=3 | (1400,7200)
折返し有無 | type=drjoy^Text To Speech$Text to speech | mm=1(int) | next=1 | subs=3 | (1120,7200)
入力_折返し有無 | type=drjoy^AmiVoice$Speech to Text | mm=1(int) | next=11 | subs=3 | (1120,7350)
リトライ_折返し有無 | type=drjoy^Text To Speech$Speech Retry Counter | mm=1(int) | next=2 | subs=3 | (1120,7650)
OpenAI_折返し有無 | type=drjoy^External Integration$generate_by_OpenAI | mm=1(int) | next=10 | subs=3 | (1120,7500)
jump_電話番号聴取 | type=drjoy^Custom Module$Custom Jump to Flow | mm=1(int) | next=1 | subs=3 | (1120,8250)
終話分岐_電話種別 | type=drjoy^Context Logic$ContextMatchRouter | mm=1(int) | next=11 | subs=3 | (1120,8550)
問い合わせ内容_その他 | type=drjoy^Text To Speech$Text to speech | mm=1(int) | next=1 | subs=3 | (0,4800)
入力_問い合わせ内容_その他 | type=drjoy^AmiVoice$Speech to Text | mm=1(int) | next=11 | subs=3 | (0,4950)
リトライ_問い合わせ内容_その他 | type=drjoy^Text To Speech$Speech Retry Counter | mm=1(int) | next=2 | subs=3 | (0,5250)
jump_RAG検索 | type=drjoy^Custom Module$Custom Jump to Flow | mm=1(int) | next=1 | subs=3 | (0,5850)
