B | リトライ_予約日_キャンセル | true->予約日_キャンセル | false->完了フラグ_聴取失敗
B | リトライ_予約日_キャンセル_復唱 | true->復唱_予約日_キャンセル | false->完了フラグ_聴取失敗
B | リトライ_予約日_変更 | true->予約日_変更 | false->完了フラグ_聴取失敗
B | リトライ_予約日_変更_復唱 | true->復唱_予約日_変更 | false->完了フラグ_聴取失敗
B | リトライ_医療機関名_新規 | true->医療機関名_新規 | false->完了フラグ_聴取失敗
B | リトライ_年齢確認 | true->年齢確認 | false->完了フラグ_聴取失敗
B | リトライ_最後の問い合わせ | true->最後の問い合わせ | false->完了フラグ_聴取失敗
B | リトライ_理由_キャンセル | true->理由_キャンセル | false->完了フラグ_聴取失敗
B | リトライ_理由_変更 | true->理由_変更 | false->完了フラグ_聴取失敗
C | リトライ_用件聴取 | true->用件聴取 | false->用件聴取
C | リトライ_用件聴取_復唱 | true->復唱_用件聴取 | false->復唱_用件聴取
B | リトライ_確認事項_確認 | true->確認事項_確認 | false->完了フラグ_聴取失敗
B | リトライ_紹介状有無_新規 | true->紹介状有無_新規 | false->完了フラグ_聴取失敗
B | リトライ_薬服用中か_キャンセル | true->薬服用中か_キャンセル | false->完了フラグ_聴取失敗
B | リトライ_薬服用中か_変更 | true->薬服用中か_変更 | false->完了フラグ_聴取失敗
B | リトライ_薬残数確認_キャンセル | true->薬残数確認_キャンセル | false->完了フラグ_聴取失敗
B | リトライ_薬残数確認_変更 | true->薬残数確認_変更 | false->完了フラグ_聴取失敗
B | リトライ_診療科_キャンセル_小児 | true->診療科_キャンセル_小児 | false->完了フラグ_聴取失敗
B | リトライ_診療科_キャンセル_成人 | true->診療科_キャンセル_成人 | false->完了フラグ_聴取失敗
B | リトライ_診療科_変更_小児 | true->診療科_変更_小児 | false->完了フラグ_聴取失敗
B | リトライ_診療科_変更_成人 | true->診療科_変更_成人 | false->完了フラグ_聴取失敗
B | リトライ_診療科_新規_小児 | true->診療科_新規_小児 | false->完了フラグ_聴取失敗
B | リトライ_診療科_新規_成人 | true->診療科_新規_成人 | false->完了フラグ_聴取失敗
B | リトライ_診療科_確認_小児 | true->診療科_確認_小児 | false->完了フラグ_聴取失敗
B | リトライ_診療科_確認_成人 | true->診療科_確認_成人 | false->完了フラグ_聴取失敗
B | リトライ_都合が悪い日_変更 | true->都合が悪い日_変更 | false->完了フラグ_聴取失敗
B | リトライ_都合が悪い日_新規 | true->都合が悪い日_新規 | false->完了フラグ_聴取失敗
