入力_予約日_キャンセル | Speech to Text | pw_lines=7
入力_予約日_キャンセル_復唱 | Speech to Text | pw_lines=7
入力_予約日_変更 | Speech to Text | pw_lines=7
入力_予約日_変更_復唱 | Speech to Text | pw_lines=7
入力_医療機関名_新規 | Speech to Text | pw_lines=4
入力_年齢確認 | Speech to Text | pw_lines=9
入力_最後の問い合わせ | Speech to Text | pw_lines=7
入力_理由_キャンセル | Speech to Text | pw_lines=0
入力_理由_変更 | Speech to Text | pw_lines=0
入力_用件聴取 | Speech to Text | pw_lines=22
入力_用件聴取_復唱 | Speech to Text | pw_lines=22
入力_確認事項_確認 | Speech to Text | pw_lines=0
入力_紹介状有無_新規 | Speech to Text | pw_lines=5
入力_薬服用中か_キャンセル | Speech to Text | pw_lines=4
入力_薬服用中か_変更 | Speech to Text | pw_lines=4
入力_薬残数確認_キャンセル | Speech to Text | pw_lines=4
入力_薬残数確認_変更 | Speech to Text | pw_lines=4
入力_診療科_キャンセル_小児 | Speech to Text | pw_lines=1
入力_診療科_キャンセル_成人 | Speech to Text | pw_lines=1
入力_診療科_変更_小児 | Speech to Text | pw_lines=1
入力_診療科_変更_成人 | Speech to Text | pw_lines=1
入力_診療科_新規_小児 | Speech to Text | pw_lines=88
入力_診療科_新規_成人 | Speech to Text | pw_lines=106
入力_診療科_確認_小児 | Speech to Text | pw_lines=1
入力_診療科_確認_成人 | Speech to Text | pw_lines=1
入力_都合が悪い日_変更 | Speech to Text | pw_lines=5
入力_都合が悪い日_新規 | Speech to Text | pw_lines=5
