# profile_words: 診療科 辞書テンプレート
# 対象: 診療科聴取STTモジュール
# 最終更新: 2026-04-14
# 使い方: このテンプレートをベースに施設固有の診療科名を追加・削除する
#
# ===== 汎用診療科（主要20科） =====

内科 ないか
内科 ないか
一般内科 いっぱんないか
消化器内科 しょうかきないか
消化器内科 しょうかきないか
循環器内科 じゅんかんきないか
じゅんかんきないか じゅんかんきないか
呼吸器内科 こきゅうきないか
腎臓内科 じんぞうないか
糖尿病内科 とうにょうびょうないか
神経内科 しんけいないか
血液内科 けつえきないか
リウマチ科 りうまちか
アレルギー科 あれるぎーか

外科 げか
外科 げか
一般外科 いっぱんげか
消化器外科 しょうかきげか
乳腺外科 にゅうせんげか
乳腺 にゅうせん
乳腺外科 にゅうせんそとか
胸部外科 きょうぶげか
心臓血管外科 しんぞうけっかんげか
脳神経外科 のうしんけいげか
脳外科 のうげか

整形外科 せいけいげか
整形 せいけい
整形外科 せいけいそとか
スポーツ整形 すぽーつせいけい
リハビリ りはびり
リハビリテーション りはびりてーしょん

皮膚科 ひふか
眼科 がんか
眼科 めか
耳鼻科 じびか
耳鼻咽喉科 じびいんこうか
耳鼻 じび

泌尿器科 ひにょうきか
泌尿器 ひにょうき
産婦人科 さんふじんか
婦人科 ふじんか
産科 さんか

精神科 せいしんか
心療内科 しんりょうないか
精神 せいしん

小児科 しょうにか
こども こども
子供 こども

歯科 しか
口腔外科 こうくうげか

放射線科 ほうしゃせんか
麻酔科 ますいか
形成外科 けいせいげか
美容外科 びようげか

# ===== 読み方の揺れ・頭落ちパターン =====
ないか ないか
げか げか
せいけい せいけい
ふじんか ふじんか
しょうかき しょうかき
じゅんかんき じゅんかんき
のうしんけい のうしんけい
にゅうせん にゅうせん
ひふ ひふ
がんか がんか
じびか じびか
しょうにか しょうにか
じびいんこうか びいんこうか
せいけいげか いけいげか

# ===== 頭落ち（消化器内科） =====
消化器内科 ょうかきないか
消化器外科 ょうかきげか

# ===== 頭落ち（循環器内科） =====
循環器内科 ゅんかんきないか

# ===== 施設固有追加エリア =====
# 以下に施設固有の診療科名を追加する
# 例:
# アレルギー・免疫科 あれるぎーめんえきか
# 感染症内科 かんせんしょうないか
# 内視鏡センター ないしきょうせんたー
# ペインクリニック ぺいんくりにっく
