内科 ないか
総合内科 そうごうないか
消化器内科 しょうかきないか
消化器 しょうかき
消化器科 しょうかきか
循環器内科 じゅんかんきないか
循環器 じゅんかんき
呼吸器内科 こきゅうきないか
呼吸器 こきゅうき
呼吸 こきゅう
糖尿病内科 とうにょうびょうないか
糖尿病 とうにょうびょう
糖尿 とうにょう
内分泌内科 ないぶんぴつないか
内分泌 ないぶんぴつ
腎臓内科 じんぞうないか
腎臓 じんぞう
血液内科 けつえきないか
神経内科 しんけいないか
脳神経内科 のうしんけいないか
心療内科 しんりょうないか
外科 げか
一般外科 いっぱんげか
消化器外科 しょうかきげか
乳腺外科 にゅうせんげか
乳腺 にゅうせん
呼吸器外科 こきゅうきげか
脳神経外科 のうしんけいげか
脳外科 のうげか
整形外科 せいけいげか
整形 せいけい
リハビリテーション科 りはびりてーしょんか
リハビリ りはびり
眼科 がんか
耳鼻咽喉科 じびいんこうか
耳鼻科 じびか
皮膚科 ひふか
皮膚 ひふ
泌尿器科 ひにょうきか
泌尿器 ひにょうき
婦人科 ふじんか
産婦人科 さんふじんか
産科 さんか
小児科 しょうにか
小児 しょうに
麻酔科 ますいか
麻酔 ますい
放射線科 ほうしゃせんか
放射線 ほうしゃせん
歯科 しか
歯科口腔外科 しかこうくうげか
口腔外科 こうくうげか
病理診断科 びょうりしんだんか
緩和ケア かんわけあ
精神科 せいしんか
形成外科 けいせいげか
リウマチ科 りうまちか
リウマチ りうまち
アレルギー科 あれるぎーか
アレルギー あれるぎー
