聴取項目名,block_type(auto),入力方式(auto),context変数(auto),調整メモ,---,ブロック選択ガイド
冒頭アナウンス,opening,none,,,---,用件聴取     → intent
3診療日確認,UNKNOWN,UNKNOWN,,,---,氏名聴取     → patient_name
代表案内,termination,none,,,---,生年月日     → dob
用件,intent,DTMF+AmiVoice,classification,,---,電話番号     → phone (常にDTMF)
質問,UNKNOWN,UNKNOWN,,,---,診察券番号   → card_number (常にDTMF)
患者名,patient_name,AmiVoice,patientName,,---,診療科       → clinical_department
生年月日,dob,AmiVoice,patientDateOfBirth,,---,はい/いいえ  → hearing (enum2)
連絡先番号（携帯電話）,phone,DTMF+AmiVoice,additionalPhoneNumber,,---,自由発話     → free_text
連絡先番号（固定電話）,phone,DTMF+AmiVoice,additionalPhoneNumber,,---,FAQ照合      → faq
終話①（予約・変更・問い合わせ）,termination,DTMF+AmiVoice,,,---,終話         → termination
終話②（キャンセル・問い合わせ）,termination,DTMF+AmiVoice,,,---,DTMF自動判定: TTS中に「1」「2」「3」単独 → DTMF+AmiVoice
リトライ時ガイダンス,UNKNOWN,UNKNOWN,,,---,
通話切断ガイダンス（代表案内で終話）,termination,none,,,---,
受診歴（予約）,hearing,AmiVoice,firstVisit,,---,
選定療養費アナウンス（予約）,UNKNOWN,UNKNOWN,,,---,
診療科（予約）,clinical_department,AmiVoice,clinicalDepartment,,---,
予約希望日（予約・変更）,hearing,AmiVoice,desiredDate,,---,
診療科（変更・キャンセル）,clinical_department,AmiVoice,clinicalDepartment,,---,
主治医の先生（変更・キャンセル）,UNKNOWN,UNKNOWN,,,---,
現在の予約日（変更・キャンセル）,hearing,DTMF+AmiVoice,reservationDate,,---,
理由（変更・キャンセル）,hearing,AmiVoice,reason,,---,
薬処方確認（変更・キャンセル）,UNKNOWN,UNKNOWN,,,---,
残薬確認（キャンセル）,hearing,AmiVoice,remainingDrugs,,---,
内容確認（その他お問い合わせ）,hearing,AmiVoice,inquiryContent,,---,
