StepID,登録単語,入力方式
3診療日確認,(未入力),UNKNOWN
用件,(未入力),DTMF+AmiVoice
質問,(未入力),UNKNOWN
患者名,(未入力),AmiVoice
生年月日,(未入力),AmiVoice
連絡先番号（携帯電話）,(未入力),DTMF+AmiVoice
連絡先番号（固定電話）,(未入力),DTMF+AmiVoice
終話①（予約・変更・問い合わせ）,(未入力),DTMF+AmiVoice
終話②（キャンセル・問い合わせ）,(未入力),DTMF+AmiVoice
リトライ時ガイダンス,(未入力),UNKNOWN
受診歴（予約）,(未入力),AmiVoice
選定療養費アナウンス（予約）,(未入力),UNKNOWN
診療科（予約）,(未入力),AmiVoice
予約希望日（予約・変更）,(未入力),AmiVoice
診療科（変更・キャンセル）,(未入力),AmiVoice
主治医の先生（変更・キャンセル）,(未入力),UNKNOWN
現在の予約日（変更・キャンセル）,(未入力),DTMF+AmiVoice
理由（変更・キャンセル）,(未入力),AmiVoice
薬処方確認（変更・キャンセル）,(未入力),UNKNOWN
残薬確認（キャンセル）,(未入力),AmiVoice
内容確認（その他お問い合わせ）,(未入力),AmiVoice
