"ケースID","優先","区分","DTMF入力","注入STT（発話/入力）","期待終端","チェックポイント","カバレッジ","備考","判定(PASS/FAIL)","実機ログ・メモ"
"1","","正常系","1","入力_用件確認: 予約 / 入力_変更_診療科: 整形外科 / 入力_受診歴: 再診 / 入力－診察か否か: 診察 / 入力_希望日①: 来週の月曜日 / _comment: ケ / 入力_患者_氏名: ヤマダタロウ / 入力_生年月日: 19800101 / 入力_患者_診察券番号: 1234567 / 入力_連絡先電話番号（固定）: 09012345678","終話①","SAVE-予約","","用件=予約 → 診療科=整形外科 → 受診歴=再診 → 診察か否か=診察 → 情報収集 → 終話①","",""
"2","","正常系","2","入力_用件確認: 予約 / 入力_変更_診療科: 皮膚科 / 入力_受診歴: 再診 / 入力－診察か否か: その他 / 入力_症状: 湿疹が出ています / 入力_希望日①: 来週の火曜日 / _comment: ー / 入力_患者_氏名: サトウハナコ / 入力_生年月日: 昭和40年3月15日 / 入力_患者_診察券番号: 9876543 / 入力_連絡先電話番号（固定）: 08087654321","終話①","SAVE-予約","","再診 → 診察か否か=その他（検査・処置など）分岐","",""
"3","","正常系","3","入力_用件確認: 予約 / 入力_変更_診療科: 眼科 / 入力_受診歴: 初診 / 入力_予約_紹介状有無: あり / 入力_希望日①: 来週の水曜日 / _comment: ス / 入力_患者_氏名: タナカイチロウ / 入力_生年月日: 19651225 / 入力_患者_診察券番号: 4567890 / 入力_連絡先電話番号（固定）: 07099998888","終話①","SAVE-予約","","初診 → 紹介状=あり → 希望日② ルートを確認","",""
"4","","正常系","4","入力_用件確認: 予約 / 入力_変更_診療科: 泌尿器科 / 入力_受診歴: 初診 / 入力_予約_紹介状有無: なし / 入力_選定療養費: あり / 入力_希望日①: 来週の木曜日 / _comment:   / 入力_患者_氏名: スズキジロウ / 入力_生年月日: 平成2年7月20日 / 入力_患者_診察券番号: 2345678 / 入力_連絡先電話番号（固定）: 09011112222","終話①","SAVE-予約","","初診 → 紹介状=なし → 選定療養費=あり → 希望日② ルート","",""
"5","","正常系","5","入力_用件確認: 予約 / 入力_変更_診療科: 循環器内科 / 入力_受診歴: 初診 / 入力_予約_紹介状有無: なし / 入力_選定療養費: なし / 入力_希望日①: 来週の金曜日 / _comment: i / 入力_患者_氏名: ワタナベアキコ / 入力_生年月日: 19901201 / 入力_患者_診察券番号: 8765432 / 入力_連絡先電話番号（固定）: 08033334444","終話①","SAVE-予約","","初診 → 紹介状=なし → 選定療養費=なし → 希望日① ルート","",""
"6","","正常系","6","入力_用件確認: 予約 / 入力_変更_診療科: 救急科 / _comment: n / 入力_患者_氏名: イトウシンジ / 入力_生年月日: 昭和55年11月11日 / 入力_患者_診察券番号: 3456789 / 入力_連絡先電話番号（固定）: 07055556666","終話","sms-救急科","","診療科=救急科 → SMS送信 → 終話（救急科は予約不可ルート）","",""
"7","","正常系","7","入力_用件確認: 予約 / 入力_変更_診療科: 分からない / 入力_受診歴: 初診 / 入力_予約_紹介状有無: なし / 入力_選定療養費: なし / 入力_希望日①: 今週の水曜日 / _comment: d / 入力_患者_氏名: カワカミメグミ / 入力_生年月日: 19750509 / 入力_患者_診察券番号: 7654321 / 入力_連絡先電話番号（固定）: 09077778888","終話①","save-分からない","","診療科=分からない → save-分からない ルート確認","",""
"8","","正常系","8","入力_用件確認: 予約 / 入力_変更_診療科: 内科 / 入力_受診歴: NO_RESULT→NO_RESULT→NO_RESULT / _comment: e / 入力_患者_氏名: ハシモトケイイチ / 入力_生年月日: 平成8年1月30日 / 入力_患者_診察券番号: 5678901 / 入力_連絡先電話番号（固定）: 08099990000","切断_受診歴","","","受診歴ノードでリトライ上限 → 切断_受診歴 or 終話_受診歴＿なし","",""
"9","","正常系","9","入力_用件確認: 変更 / 入力_変更_診療科: 外科 / 入力_現在の予約日: 20260901 / 入力_希望日①: 来週の月曜日 / _comment: x / 入力_患者_氏名: キムラサチコ / 入力_生年月日: 19850815 / 入力_患者_診察券番号: 1357924 / 入力_連絡先電話番号（固定）: 07011223344","終話","save-変更","","用件=変更 → 診療科=外科 → 現在の予約日 → 希望日 → 情報収集 → 終話","",""
"10","","正常系","10","入力_用件確認: 変更 / 入力_変更_診療科: 救急科 / _comment:   / 入力_患者_氏名: オオタユウジ / 入力_生年月日: 昭和62年4月5日 / 入力_患者_診察券番号: 2468013 / 入力_連絡先電話番号（固定）: 09055667788","終話","save-不可","","変更フロー → 診療科=救急科 → 変更不可終話","",""
