"ケースID","DTMF入力","注入STT（発話/入力）","期待終端","チェックポイント","カバレッジ","備考","判定(PASS/FAIL)","実機ログ・メモ"
"1","1","入力_受診タイミング確認: 本日受診","END_救急科","受診タイミング確認:本日受診 / 診療科_本日","入力_受診タイミング確認(enum) ^本日受診$→診療科_本日","","",""
"2","2","入力_受診タイミング確認: other","END_救急科","受診タイミング確認:other / 用件確認","入力_受診タイミング確認(enum) ^other$→用件確認","","",""
"3","3","入力_受診タイミング確認: NO_RESULT→本日受診","END_救急科","リトライ_受診タイミング確認:true / 受診タイミング確認:本日受診","リトライ_受診タイミング確認 true（1回戻り→成功）","","",""
"4","4","入力_受診タイミング確認: NO_RESULT","完了フラグ_聴取失敗","リトライ_受診タイミング確認:false","リトライ_受診タイミング確認 false（exhaust）。デッドエンドが出たら構造監査所見として記録","","",""
"5","5","入力_受診タイミング確認: INVALID_INPUT","★catch-all未設定（要確認）","受診タイミング確認:catch-all / 未設定","入力_受診タイミング確認 ^.*$（不正入力→catch-all ルート検証）","★ catch-all 未設定: no ^.*$ in conditions。E-16 catch-all 欠落を確認","",""
"6","6","入力_受診タイミング確認: NO_RESULT→NO_RESULT→本日受診","END_救急科","リトライ_受診タイミング確認:true / リトライ_受診タイミング確認:true / 受診タイミング確認:本日受診","リトライ_受診タイミング確認 2回失敗→3回目成功（retry_count>=2 の場合のみ有効）","retry_count=1 の設定ではこのケースは exhaust になる（設計書と突合のこと）","",""
"7","7","入力_受診タイミング確認: 本日受診 / 入力_診療科_本日: 救急科","END_救急科","診療科_本日:救急科 / END_救急科","入力_診療科_本日(enum) ^救急科$→END_救急科","","",""
"8","8","入力_受診タイミング確認: 本日受診 / 入力_診療科_本日: other","END_終話1","診療科_本日:other / 受診歴確認","入力_診療科_本日(enum) ^other$→受診歴確認","","",""
"9","9","入力_受診タイミング確認: 本日受診 / 入力_診療科_本日: NO_RESULT→救急科","END_救急科","リトライ_診療科_本日:true / 診療科_本日:救急科","リトライ_診療科_本日 true（1回戻り→成功）","","",""
"10","10","入力_受診タイミング確認: 本日受診 / 入力_診療科_本日: NO_RESULT","完了フラグ_聴取失敗","リトライ_診療科_本日:false","リトライ_診療科_本日 false（exhaust）。デッドエンドが出たら構造監査所見として記録","","",""
"11","11","入力_受診タイミング確認: 本日受診 / 入力_診療科_本日: INVALID_INPUT","★catch-all未設定（要確認）","診療科_本日:catch-all / 未設定","入力_診療科_本日 ^.*$（不正入力→catch-all ルート検証）","★ catch-all 未設定: no ^.*$ in conditions。E-16 catch-all 欠落を確認","",""
"12","12","入力_受診タイミング確認: 本日受診 / 入力_診療科_本日: NO_RESULT→NO_RESULT→救急科","END_救急科","リトライ_診療科_本日:true / リトライ_診療科_本日:true / 診療科_本日:救急科","リトライ_診療科_本日 2回失敗→3回目成功（retry_count>=2 の場合のみ有効）","retry_count=1 の設定ではこのケースは exhaust になる（設計書と突合のこと）","",""
"13","13","入力_受診タイミング確認: 本日受診 / 入力_診療科_本日: other / 入力_受診歴確認: あり","END_終話1","受診歴確認:あり / 紹介状確認","入力_受診歴確認(enum) ^あり$→紹介状確認","","",""
"14","14","入力_受診タイミング確認: 本日受診 / 入力_診療科_本日: other / 入力_受診歴確認: other","END_終話1","受診歴確認:other / 紹介状確認","入力_受診歴確認(enum) ^other$→紹介状確認","","",""
"15","15","入力_受診タイミング確認: 本日受診 / 入力_診療科_本日: other / 入力_受診歴確認: NO_RESULT→あり","END_終話1","リトライ_受診歴確認:true / 受診歴確認:あり","リトライ_受診歴確認 true（1回戻り→成功）","","",""
"16","16","入力_受診タイミング確認: 本日受診 / 入力_診療科_本日: other / 入力_受診歴確認: NO_RESULT","完了フラグ_聴取失敗","リトライ_受診歴確認:false","リトライ_受診歴確認 false（exhaust）。デッドエンドが出たら構造監査所見として記録","","",""
"17","17","入力_受診タイミング確認: 本日受診 / 入力_診療科_本日: other / 入力_受診歴確認: INVALID_INPUT","★catch-all未設定（要確認）","受診歴確認:catch-all / 未設定","入力_受診歴確認 ^.*$（不正入力→catch-all ルート検証）","★ catch-all 未設定: no ^.*$ in conditions。E-16 catch-all 欠落を確認","",""
"18","18","入力_受診タイミング確認: 本日受診 / 入力_診療科_本日: other / 入力_受診歴確認: NO_RESULT→NO_RESULT→あり","END_終話1","リトライ_受診歴確認:true / リトライ_受診歴確認:true / 受診歴確認:あり","リトライ_受診歴確認 2回失敗→3回目成功（retry_count>=2 の場合のみ有効）","retry_count=1 の設定ではこのケースは exhaust になる（設計書と突合のこと）","",""
"19","19","入力_受診タイミング確認: 本日受診 / 入力_診療科_本日: other / 入力_受診歴確認: あり / 入力_紹介状確認: あり","END_終話1","紹介状確認:あり / 症状確認_本日","入力_紹介状確認(enum) ^あり$→症状確認_本日","","",""
"20","20","入力_受診タイミング確認: 本日受診 / 入力_診療科_本日: other / 入力_受診歴確認: あり / 入力_紹介状確認: other","END_終話1","紹介状確認:other / 選定療養費確認","入力_紹介状確認(enum) ^other$→選定療養費確認","","",""
"21","21","入力_受診タイミング確認: 本日受診 / 入力_診療科_本日: other / 入力_受診歴確認: あり / 入力_紹介状確認: NO_RESULT→あり","END_終話1","リトライ_紹介状確認:true / 紹介状確認:あり","リトライ_紹介状確認 true（1回戻り→成功）","","",""
"22","22","入力_受診タイミング確認: 本日受診 / 入力_診療科_本日: other / 入力_受診歴確認: あり / 入力_紹介状確認: NO_RESULT","完了フラグ_聴取失敗","リトライ_紹介状確認:false","リトライ_紹介状確認 false（exhaust）。デッドエンドが出たら構造監査所見として記録","","",""
"23","23","入力_受診タイミング確認: 本日受診 / 入力_診療科_本日: other / 入力_受診歴確認: あり / 入力_紹介状確認: INVALID_INPUT","★catch-all未設定（要確認）","紹介状確認:catch-all / 未設定","入力_紹介状確認 ^.*$（不正入力→catch-all ルート検証）","★ catch-all 未設定: no ^.*$ in conditions。E-16 catch-all 欠落を確認","",""
